total_kWhDelivered,carsCharging,carsIdle,Holiday,Weekday
47.33804642857142,22,14,False,2
40.12364642857142,19,16,False,2
43.20841309523809,19,17,False,2
60.202879761904754,24,17,False,2
44.75504642857142,17,20,False,2
20.702183333333334,7,17,False,2
7.6005,3,10,False,2
10.9285,3,6,False,2
35.03208333333333,7,3,False,2
70.11274999999999,11,1,False,2
35.14025,7,1,False,2
32.13041666666667,6,2,False,2
23.113,4,4,False,2
11.831,3,5,False,3
3.598,1,6,False,3
0.0,0,6,False,3
0.0,0,6,False,3
0.0,0,6,False,3
3.8866666666666667,1,4,False,3
8.029666666666667,2,3,False,3
16.900666666666666,3,2,False,3
23.324333333333335,7,3,False,3
61.99368333333332,22,7,False,3
62.835495238095234,26,7,False,3
49.6766619047619,21,11,False,3
47.65482857142857,20,13,False,3
46.357828571428584,17,13,False,3
29.64147857142857,12,17,False,3
24.052011904761905,8,15,False,3
16.78967857142857,6,14,False,3
28.358666666666664,4,8,False,3
41.58016666666667,8,4,False,3
30.742666666666665,7,1,False,3
27.009,7,2,False,3
11.632625,4,2,False,3
9.897124999999999,4,3,False,3
9.047325,4,4,False,3
9.047325,4,4,False,4
9.079825,4,3,False,4
5.3668249999999995,3,3,False,4
5.3668249999999995,3,3,False,4
2.579625,2,4,False,4
5.417666666666666,2,4,False,4
16.395666666666667,2,3,False,4
16.660666666666668,5,3,False,4
40.978449999999995,11,4,False,4
60.98733690476191,22,5,False,4
62.78823690476191,25,10,False,4
46.01573690476191,20,12,False,4
40.6902369047619,18,12,False,4
28.544536904761905,14,17,False,4
34.28720357142857,13,15,False,4
36.86497023809524,14,16,False,4
21.822291666666665,6,16,False,4
15.631,4,11,False,4
23.961170848267503,3,8,False,4
15.065170848267504,2,5,False,4
7.726170848267504,1,4,False,4
7.726170848267504,1,3,False,4
3.21,1,4,False,4
0.0,0,4,False,4
5.7425,2,4,False,5
8.817499999999999,2,4,False,5
0.0,0,5,False,5
0.0,0,5,False,5
0.0,0,4,False,5
6.029,1,4,False,5
0.0,0,4,False,5
2.281,1,4,False,5
0.0,0,3,False,5
0.0,0,3,False,5
12.740333333333334,4,3,False,5
19.471333333333334,4,3,False,5
18.919333333333334,3,3,False,5
53.674166666666665,8,4,False,5
56.893166666666666,9,4,False,5
25.737666666666666,5,5,False,5
35.334999999999994,6,3,False,5
21.553000000000004,4,4,False,5
35.37950000000001,6,2,False,5
24.4275,4,3,False,5
19.882666666666665,3,2,False,5
23.917666666666666,4,2,False,5
12.940166666666666,2,4,False,5
9.686499999999999,2,4,False,5
4.103,1,4,False,6
2.5446666666666666,1,4,False,6
2.5446666666666666,1,4,False,6
2.5446666666666666,1,4,False,6
0.0,0,5,False,6
0.0,0,5,False,6
0.0,0,5,False,6
0.0,0,5,False,6
3.205,2,5,False,6
19.621000000000002,3,5,False,6
16.4645,4,4,False,6
41.28175,8,3,False,6
22.992250000000002,6,4,False,6
54.68933333333333,12,5,False,6
52.79533333333333,11,6,False,6
38.04058333333334,8,7,False,6
17.69725,4,8,False,6
7.643,1,8,False,6
21.483,4,5,False,6
18.078,3,4,False,6
6.946,1,4,False,6
0.0,0,3,False,6
3.744666666666667,1,2,False,6
3.744666666666667,1,2,False,6
3.744666666666667,1,2,False,0
0.0,0,2,False,0
0.0,0,2,False,0
0.0,0,2,False,0
3.923,1,2,False,0
3.832333333333333,1,2,False,0
12.446666666666665,3,1,False,0
13.772166666666667,4,1,False,0
34.2313,10,1,False,0
53.702152380952384,17,6,False,0
46.99540238095237,16,10,False,0
37.92080238095239,14,14,False,0
34.520802380952375,13,14,False,0
39.706002380952384,15,13,False,0
33.38985238095238,13,15,False,0
39.13385238095238,12,15,False,0
13.780116666666666,6,17,False,0
36.25678333333334,7,9,False,0
22.225783333333336,5,4,False,0
27.832783333333335,6,1,False,0
32.6287,6,1,False,0
10.2305,2,2,False,0
0.0,0,4,False,0
1.195,1,4,False,0
0.0,0,4,False,1
0.0,0,3,False,1
0.0,0,3,False,1
0.0,0,3,False,1
4.9265,1,3,False,1
8.789833333333334,2,2,False,1
3.8633333333333333,1,2,False,1
23.24528345280667,5,2,False,1
27.437866786140003,12,5,False,1
56.26950964328286,27,5,False,1
67.48192035756857,33,6,False,1
52.03292035756857,26,10,False,1
40.17413690476191,21,15,False,1
37.0538869047619,20,20,False,1
30.023220238095234,17,20,False,1
26.090086904761904,13,20,False,1
20.059694047619047,7,11,False,1
17.867408333333334,5,10,False,1
21.754283333333333,7,3,False,1
42.55045,9,1,False,1
56.73224999999999,10,2,False,1
33.9465,6,3,False,1
4.547,1,5,False,1
0.0,0,5,False,1
0.0,0,4,False,2
0.0,0,4,False,2
0.0,0,4,False,2
0.0,0,4,False,2
3.6176666666666666,1,4,False,2
7.52,2,3,False,2
11.405999999999999,3,2,False,2
19.200833333333335,5,1,False,2
46.07175,13,3,False,2
52.606047619047615,22,7,False,2
42.30741666666666,20,13,False,2
40.299166666666665,20,14,False,2
38.64458333333333,19,17,False,2
38.024899999999995,19,20,False,2
38.75215,20,18,False,2
29.9284,15,21,False,2
30.759837936507935,13,19,False,2
30.2779,6,15,False,2
24.0245,5,3,False,2
53.204766666666664,10,2,False,2
45.37201666666667,9,2,False,2
42.95726666666666,7,3,False,2
8.7776,3,5,False,2
12.3916,2,5,False,2
0.0,0,5,False,3
0.0,0,5,False,3
0.0,0,4,False,3
0.0,0,4,False,3
0.0,0,3,False,3
8.983333333333333,2,3,False,3
8.983333333333333,2,3,False,3
17.362083333333334,4,2,False,3
53.286333333333346,18,5,False,3
65.10971666666669,25,7,False,3
44.454616666666666,18,14,False,3
30.258366666666667,13,18,False,3
31.887116666666667,14,17,False,3
26.822366666666667,11,18,False,3
20.64956666666667,9,21,False,3
8.562333333333333,4,18,False,3
20.541833333333333,4,13,False,3
14.350999999999999,2,9,False,3
10.198799999999999,2,2,False,3
30.861800000000002,7,2,False,3
41.4828,7,1,False,3
23.9158,5,0,False,3
14.7663,4,0,False,3
8.5435,3,2,False,3
1.6745,1,2,False,4
1.6745,1,2,False,4
1.6745,1,2,False,4
1.6745,1,2,False,4
1.6745,1,2,False,4
5.5525,2,2,False,4
11.262,2,1,False,4
25.939333333333334,6,1,False,4
37.47570833333333,15,4,False,4
60.556458333333346,23,4,False,4
47.91754761904762,22,9,False,4
45.62297023809524,22,12,False,4
44.797970238095246,22,13,False,4
45.0738869047619,21,15,False,4
43.6146369047619,19,16,False,4
34.750636904761905,15,12,False,4
30.061761904761905,11,10,False,4
19.69851428571429,7,7,False,4
47.896675,9,5,False,4
39.6418,8,2,False,4
26.7168,7,5,False,4
31.848299999999995,8,4,False,4
12.991666666666667,3,4,False,4
13.959066666666667,2,3,False,4
13.959066666666667,2,3,False,5
6.1914,1,4,False,5
6.1914,1,4,False,5
6.1914,1,4,False,5
3.326,1,5,False,5
3.326,1,5,False,5
0.0,0,5,False,5
0.0,0,4,False,5
10.969916666666668,4,4,False,5
15.093583333333335,4,4,False,5
36.130583333333334,7,3,False,5
46.99066666666667,9,2,False,5
32.329750000000004,7,6,False,5
19.48975,5,6,False,5
22.253749999999997,5,5,False,5
7.520666666666667,2,6,False,5
17.942166666666665,4,4,False,5
32.799166666666665,6,4,False,5
10.2775,2,5,False,5
9.6945,2,4,False,5
6.22,1,3,False,5
10.334,2,3,False,5
10.334,2,3,False,5
10.334,2,3,False,5
10.334,2,3,False,6
4.114,1,4,False,6
4.114,1,4,False,6
4.114,1,4,False,6
4.114,1,4,False,6
0.0,0,5,False,6
0.0,0,5,False,6
0.0,0,5,False,6
11.804666666666666,2,5,False,6
11.804666666666666,2,5,False,6
15.598166666666666,3,5,False,6
10.9465,2,3,False,6
23.357,5,4,False,6
9.620000000000001,2,5,False,6
15.233,4,4,False,6
16.727916666666665,4,4,False,6
20.706916666666665,5,3,False,6
21.989916666666666,5,2,False,6
